Arthur J. Lei's Film List,,,,,,
,,,,,,
Title,Date,Note,Film Index/Counter,Note,Genre,Sequel/Prequel Status
The Grand Budapest Hotel,March 2014,Schmaltzy. Jason said it was quite maudlin. ,1059,,,
The Last Stand,March 2014,"A great 1990s action film made in the 2010s. Also, it felt like someone re-wrote a western. I wonder if that Arpaio chap has this as a wet dream",1060,,,
The Expendables 2,March 2014,"Another great 1980s action film. Hilariously flat charaterization and celebratory referentiality (this film could not exist without the reputation of its actors preceding them, e.g. Arnold and Bruce using each other's catchphrases)",1061,,,
Captain America: The Winter Soldier,April 2014,I saw this the day before my first QE,1062,,,
Godzilla (2014),May 2014,I saw this with Ferguson the weekend before my orals. Godzilla was a guest start in his own movie.,1063,,,
Gojira (1954),May 2014,I saw this the day before my orals.,1064,,,
Only Lovers Left Alive,May 2014,I enjoyed this film. I love movies about immortals. I love movies about people in long-term relationships. I hate films about relationships just starting up. Starting is easy. Enduring is hard.,1065,,,
X-Men: Days of Future Past,May 2014,"Okay, saw this with Scheibel. We both realized the plot made no sense. It had some nice set pieces, though.",1066,,,
Edge of Tomorrow,June 2014,"Odd this came out on D-day, given landing imagery. Surprisingly good",1067,,,
"Buongiorno, Presidente",June 2014,"I enjoyed this film. However, the may-december pairing was a bit of a turn-off. The film had surprising depth to it.",1068,,,
Vogliamo anche le rose,June 2014,"I am glad I am a man. Also, Italy really needs a feminist revolution. The documentary footage got in the way at times of the narrative. Really chilling interview with Sicilian woman who accepts her subjugations.",1069,,,
How To Train Your Dragon,June 2014,"Entertaining, lovely score. I wonder what the story would be like if told from Astrid's point of view.",1070,,,
Il compagno don Camillo,June 2014,Enjoyable Catholic apologist comedy. The actor who played Don Camillo is a comic genius.,1071,,,
How To Train Your Dragon 2,July 2014,"I saw this with Sara, Zac, and Caterina. Great care and attention was given in animating and designing the dragons. It was clear that they had more money. ",1072,,,
Girlfriend in a Coma,July 2014,"Grating but a good introduction to some issues currently affecting Italy.. the animation was very disturbing. It was also weird watching this film with so many Italians abroad, so many of that young brain drain generation. ",1073,,,
"Buongiorno, Notte",July 2014,"Depressing, felt like a stage play, a bit pretentious",1074,,,
Snowpiercer,July 2014,"Amazing, good comp. lit paper in the making. Saw this with Emily. She loved it. One of the best movies I have seen this year.",1075,,,
Il sangue verde,July 2014,Last movie I saw as a 27 year-old,1076,,,
Aprile,July 2014,This film felt drawn out. It seemed to advocate an anti-politica. ,1077,,,
Guardians of the Galaxy,August 2014,It was like Star Wars with no Luke Skywalker but a crew consisting only of Han Solos and Chebaccas. Or it was the best episode of Farscape/Firefly ever made.,1078,,,
Noah,August 2014,Saw this dubbed in Italian on my way to New York. Quite a trippy experience. Aronofsky attempts to be big budget Pasolini,1079,,,
The Muppets,August 2014,Cute but weird in Italian,1080,,,
The Monuments Men,August 2014,Best 1940s war movie made in the 2000s.,1081,,,
Sole a catinelle,September 2014,A fun light-hearted film. Good fluff is still fluff. ,1082,,,
Sin City: A Dame To Kill For,September 2014,"Eva Green! EVA GREEN! Also, I saw this with Avy.",1083,,,
War of the Worlds: Goliath,September 2014,"First animated film I saw from Malaysia. It felt like the beginning or aborted pilot of a tv series. The guy really loved explosions and gore. Also, Theodore Roosevelt as a martian war hero.",1084,,,
L'arbitro,September 2014,"GOL! This film felt cobbled together. The high music, lovely cinematography mixed with the low scenes, this film was glorious grotesque. Also, fun hearing a Sardinian accent again.",1085,,,
Rampage: Capital Punishment ,September 2014,"Disturbing, meant to provoke, meant to antagonize. Uwe Boll is truly the heir of the grindhouse tradition.",1086,,,
The Killing,September 2014,,1087,,,
Barry Lyndon,October 2014,,1088,,,
The Shining,October 2014,,1089,,,
Il capitale umano,October 2014,,1090,,,
John Wick,November 2014,1,1091,,,
Dear White People,November 2014,,1092,,,
Birdman,November 2014,,1093,,,
Le cose belle,November 2014,,1094,,,
Smetto quando voglio,Dicembre 2014,,1095,,,
Zero Motivation,Dicembre 2014,"Enjoyable war film, even with attempted rape",1096,,,
Fedele alla linea,Dicembre 2014,Germano Maccioni was there to present his film. ,1097,,,
The Hobbit: Battle of the Five Armies,Dicembre 2014,Not worth it,1098,,,
Iron Sky,Gennaio 2015,It's a movie full of discount versions of different actors. Even discount versions of what could be called acting. Fun special effects.,1099,,,
Five Graves to Cairo,Febbraio 2015,"Anne Bancroft's adorable French accent. Strangely grim ending. It suffered, for better or wors,e from Billy Wilderism.",1100,,,
Inherent Vice,Febbraio 2015,"An amazing adaptation of the Pynchon novel, light, trippy, it felt like a time and place. ",1101,,,
Jupiter Ascending,Febbraio 2015,A collage of a mess of a movie. Other than Eddie Reddmayne no one seemed to be the right fit for the movie. I did love the capitalism angle.,1102,,,
L'arte della felicita',Marzo 2015,A bit New Agey but some powerful moments. It also reminded me of NIght on Earth by Jarmusch,1103,,,
La grande guerra,Marzo 2015,"Stunning, the comic and the tragic as in life are found side-by-side.",1104,,,
What We Do In The Shadows,Marzo 2015,"I went to see this film with Bianca, Jason, Gianmarco and Chiara. The Italian coalition. ",1105,,,
Wild Tales,Marzo 2015,I enjoyed this film immensely. ,1106,,,
71,Marzo 2015,An okay action film. Good sense of place. Ambitious given what was probably a small budget,1107,,,
Noi vogliamo i colonelli,Aprile 2015,Splendid little film. To think that it was made when certain things were going on in Italy. Misogyny was a bit much.  I really enjoyed this film. ,1108,,,
Kumiko,Aprile 2015,This was hilariously dark. This film was a lovely twist on the usual quirky dreamer story.,1109,,,
Ex Machina,Aprile 2015,Dreamy. Mesmerizing. Nice shout out to Noam Chomsky,1110,,,
Noi Credevamo,Aprile 2015,"Convoluted, bloated in parts, storyline difficult to follow but there were some high moments. An American counterpart would have ended with everybody living happily ever after, never having doubted the mission. ",1111,,,
Natural Born Killers,April 2015,This film was the 90s. ,1112,,,
This is Spinal Tap,April 2015,,1113,,,
Avengers: Age of Ultron,Maggio 2015,"I could not get over the Olsen dame's awful accent. I saw this with John Steinbach. We both joked about there being a Kevin James movie trailer or lowbrow comedy movie trailer before the film. Lo and behold, there was a trailer for Pixels.. starring Kevin James. Awful ad for Pitch Perfect 2",1114,,,
Mad Max: Fury Road,Maggio 2015,Impressive. Most impressive. I saw this with Emily and Ian,1115,,,
The Road Warrior,Maggio 2015,"Impressive, especially given the slightly nicer than new shoestring budget they had when making this film.",1116,,,
Django,Giugno 2015,That theme is so damn catchy. ,1117,,,
The Great Silence,Giugno 2015,"I like both endings, but the original ending was quite pleasing.",1118,,,
Spy,Giugno 2015,I saw this with Linda in the theater. It was quite enjoyable. Best spy spoof in a long while.,1119,,,
,Giugno 2015,,1120,,,
,Giugno 2015,,1121,,,
,Giugno 2015,,1122,,,
,,,1123,,,
,,,1124,,,
,,,1125,,,
,,,1126,,,
,,,1127,,,
,,,1128,,,
